MMSI, IMO, SHIP_ID, LAT, LON, SPEED, HEADING, COURSE, STATUS, TIMESTAMP, DSRC, UTC_SECONDS
224042680,8506921,163332,36.835020,-2.475983,0,290,0,0,2019-12-06T18:45:02,TER,1
225984906,9790945,3820840,36.714050,-4.415758,0,259,0,0,2019-12-06T18:45:07,TER,7
992242001,0,3517484,36.698920,-4.414732,0,511,0,98,2019-12-06T18:41:04,TER,0
210030000,7637149,123756,36.832400,-2.467770,0,230,30,5,2019-12-06T18:40:55,TER,54
225990293,0,5943977,36.708590,-4.413067,1,511,179,99,2019-12-06T18:44:38,TER,38
620126000,7721964,334870,36.831630,-2.466485,0,511,58,0,2019-12-06T18:44:42,TER,42
371058000,8520446,702104,36.833920,-2.476033,0,85,266,5,2019-12-06T18:43:35,TER,36
319866000,1007213,386562,36.710550,-4.414420,0,161,79,5,2019-12-06T18:44:11,TER,9
225391000,9541643,169130,36.710550,-4.422430,1,260,263,5,2019-12-06T18:43:40,TER,40
992242174,0,3444381,36.713170,-4.414777,0,511,0,98,2019-12-06T18:38:48,TER,0
224359000,9141833,144741,36.836310,-2.473515,0,108,206,5,2019-12-06T18:43:49,TER,47
224123750,0,5600424,36.830660,-2.463002,1,511,152,99,2019-12-06T18:44:00,TER,0
477752900,9610755,689209,36.693650,-4.385883,1,103,29,1,2019-12-06T18:43:48,TER,49
2242174,0,22100,36.714180,-4.414583,0,511,0,95,2019-12-06T18:43:40,TER,99
224703000,9429106,167864,36.832700,-2.466418,1,317,268,5,2019-12-06T18:46:17,TER,18
224446540,0,5762501,36.830540,-2.462342,1,511,0,99,2019-12-06T18:46:17,TER,55
224237920,0,166118,36.708200,-4.412493,0,511,0,99,2019-12-06T18:45:54,TER,54
224697230,0,6035674,36.830530,-2.462115,0,54,54,96,2019-12-06T18:45:23,TER,0
224600000,9217125,167629,36.833600,-2.470120,5,230,128,0,2019-12-06T18:45:30,TER,30
225987234,0,4950396,36.830510,-2.462393,0,0,60,99,2019-12-06T18:45:56,TER,56
225984927,0,3751578,36.708100,-4.412436,0,511,84,99,2019-12-06T18:46:03,TER,3
224586000,9387011,1058740,36.712410,-4.422848,1,42,20,5,2019-12-06T18:43:36,TER,36
