MMSI, IMO, SHIP_ID, LAT, LON, SPEED, HEADING, COURSE, STATUS, TIMESTAMP, DSRC, UTC_SECONDS
477752900,9610755,689209,36.693850,-4.385682,1,118,29,1,2019-12-06T18:34:51,TER,52
992242002,0,3904690,36.714170,-4.414567,0,511,0,98,2019-12-06T18:30:35,TER,0
224237920,0,166118,36.708200,-4.412488,0,511,0,99,2019-12-06T18:39:54,TER,54
224703000,9429106,167864,36.832830,-2.466513,0,317,268,5,2019-12-06T18:40:17,TER,17
225987234,0,4950396,36.830510,-2.462377,1,0,60,99,2019-12-06T18:39:56,TER,56
225984906,9790945,3820840,36.714050,-4.415753,1,259,0,0,2019-12-06T18:40:09,TER,8
225984927,0,3751578,36.708130,-4.412403,0,511,84,99,2019-12-06T18:40:03,TER,2
210030000,7637149,123756,36.832440,-2.467725,0,230,30,5,2019-12-06T18:34:54,TER,53
992242174,0,3444381,36.713170,-4.414777,0,511,0,98,2019-12-06T18:38:48,TER,0
225990293,0,5943977,36.708590,-4.413065,0,511,179,99,2019-12-06T18:38:36,TER,36
224446540,0,5762501,36.830530,-2.462298,0,511,0,99,2019-12-06T18:34:18,TER,55
2242174,0,22100,36.714180,-4.414583,0,511,0,95,2019-12-06T18:35:40,TER,99
224600000,9217125,167629,36.833090,-2.473130,8,254,215,0,2019-12-06T18:39:03,TER,3
224359000,9141833,144741,36.836310,-2.473513,0,108,48,5,2019-12-06T18:37:48,TER,46
319866000,1007213,386562,36.710550,-4.414420,1,161,12,5,2019-12-06T18:38:10,TER,9
224586000,9387011,1058740,36.712490,-4.422790,1,41,28,5,2019-12-06T18:37:38,TER,38
225391000,9541643,169130,36.710560,-4.422433,1,260,268,5,2019-12-06T18:37:40,TER,40
224042680,8506921,163332,36.835020,-2.475957,0,290,82,0,2019-12-06T18:37:50,TER,50
371058000,8520446,702104,36.833930,-2.476033,1,84,266,5,2019-12-06T18:37:35,TER,35
224123750,0,5600424,36.830660,-2.463008,1,511,152,99,2019-12-06T18:38:00,TER,0
224697230,0,6035674,36.830520,-2.462125,0,293,293,96,2019-12-06T18:37:33,TER,0
620126000,7721964,334870,36.831620,-2.466473,0,511,0,0,2019-12-06T18:37:53,TER,53
