MMSI, IMO, SHIP_ID, LAT, LON, SPEED, HEADING, COURSE, STATUS, TIMESTAMP, DSRC, UTC_SECONDS
225984906,9790945,3820840,36.714050,-4.415758,0,259,0,0,2019-12-06T18:45:07,TER,7
225990293,0,5943977,36.708600,-4.413048,1,511,179,99,2019-12-06T18:47:37,TER,37
992242001,0,3517484,36.698920,-4.414732,0,511,0,98,2019-12-06T18:41:04,TER,0
319866000,1007213,386562,36.710540,-4.414422,1,161,280,5,2019-12-06T18:47:10,TER,9
477752900,9610755,689209,36.693660,-4.385931,1,99,275,1,2019-12-06T18:46:48,TER,49
224359000,9141833,144741,36.836310,-2.473513,0,108,357,5,2019-12-06T18:46:48,TER,47
992242174,0,3444381,36.713170,-4.414777,0,511,0,98,2019-12-06T18:47:48,TER,0
224123750,0,5600424,36.830660,-2.463002,1,511,152,99,2019-12-06T18:44:00,TER,0
224586000,9387011,1058740,36.712470,-4.422753,1,42,20,5,2019-12-06T18:46:35,TER,35
2242174,0,22100,36.714180,-4.414583,0,511,0,95,2019-12-06T18:43:40,TER,99
620126000,7721964,334870,36.831630,-2.466465,0,511,5,0,2019-12-06T18:48:33,TER,33
224703000,9429106,167864,36.832650,-2.466415,0,317,268,5,2019-12-06T18:49:18,TER,18
224446540,0,5762501,36.830540,-2.462342,1,511,0,99,2019-12-06T18:46:17,TER,55
225987234,0,4950396,36.830510,-2.462380,0,0,60,99,2019-12-06T18:48:56,TER,55
224042680,8506921,163332,36.834990,-2.475953,0,290,9,0,2019-12-06T18:48:22,TER,21
224600000,9217125,167629,36.833610,-2.470000,4,229,47,0,2019-12-06T18:47:49,TER,50
224697230,0,6035674,36.830520,-2.462117,0,337,337,96,2019-12-06T18:49:13,TER,0
992242002,0,3904690,36.714170,-4.414567,0,511,0,98,2019-12-06T18:48:39,TER,0
224237920,0,166118,36.708190,-4.412500,0,511,0,99,2019-12-06T18:48:54,TER,54
371058000,8520446,702104,36.833930,-2.476040,0,84,266,5,2019-12-06T18:46:35,TER,36
225391000,9541643,169130,36.710550,-4.422433,2,260,264,5,2019-12-06T18:46:40,TER,40
210030000,7637149,123756,36.832410,-2.467747,0,230,30,5,2019-12-06T18:46:54,TER,53
225984927,0,3751578,36.708110,-4.412410,1,511,84,99,2019-12-06T18:49:04,TER,4
